Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
CITEXIA,"Le saviez-vous ? 80% des cyberattaques passent par des comptes à privilèges !
WALLIX est le spécialiste européen de la sécurité des accès et de l'identité numérique, reconnu par les analystes de premier plan de l'industrie pour sa solution PAM (Privileged Access Management).
Leurs technologies permettent aux organisations de relever leurs défis en matière de protection des réseaux informatiques, de sécurité des données et de continuité opérationnelle pour les systèmes informatiques & réseaux industriels.
Les solutions WALLIX mettent la cybersécurité au service des entreprises et accélèrent de manière transparente leur transformation numérique, de manière simple et accessible.
WALLIX s'appuie sur un réseau de distributeurs, revendeurs et intégrateurs certifiés pour accompagner plus de 3 000 organisations dans le monde entier, dans tous les secteurs. La société est cotée sur Euronext (ALLIX).
WALLIX obtient, pour la campagne Ethifinance ESG Rating 2023, une note de 72/100.","Cybersécurité, IT / Digital, Logiciels","Paris, Las Rozas De Madrid, Massy, Montréal, Munich, Rennes",Candidatures spontanées !,/fr/companies/citexia/jobs
ORSYS,"Créé en 2021 asap.work est une agence d’intérim et de recrutement spécialisée dans le domaine du BTP avec pour première préoccupation : l’humain. Nous accordons une grande importance au bien être à la fois de nos salariés/ consultants mais aussi de notre meilleur client, l’intérimaire.
Nous croyons en un monde où l’intérim n’est pas un choix par défaut. Ainsi, nous souhaitons mettre en avant tous les avantages qu’offre le contrat d’intérim, afin qu’il devienne le premier choix de contrat pour les travailleurs dans le domaine de la construction. Nous souhaitons transformer la manière de faire de l’intérim, en améliorant et en facilitant les process qu'il y a derrière.
Asap.work s’engage à créer une alternative moderne et attractive de l’agence d’intérim traditionnelle en proposant un véritable accompagnement et une bonne compréhension des besoins.
Ensemble, rénovons l’intérim.","Bâtiment / Travaux publics, Recrutement, SaaS / Cloud Services","Paris, Marseille, Saint-Martin-Boulogne",28 offres,/fr/companies/orsys/jobs
TAKOMA,"Numeum, né de la fusion de Syntec Numérique et de TECH IN France, est l'organisation professionnelle de l’écosystème numérique en France. Il représente les Entreprises de Services du Numérique (ESN), les éditeurs de logiciels, les plateformes et les sociétés d'Ingénierie et de Conseil en Technologies (ICT).
L’engagement de Numeum repose sur 4 piliers d’actions : la valorisation et la défense des intérêts de ses membres et de leurs métiers, l’incarnation de la France numérique en Europe, l’animation de l’écosystème numérique pour favoriser les synergies et l’innovation, et le renforcement du service à toutes les entreprises du numérique. Numeum est membre de la Fédération Syntec.","Cybersécurité, Intelligence artificielle / Machine Learning, Logiciels",Paris,30 offres,/fr/companies/takoma/jobs
Opendatasoft,"Envie de rejoindre un cabinet de conseil à taille humaine, en pleine croissance et engagé auprès de ses clients ?
Grâce à ses communautés d’experts, Helis porte un engagement fort auprès de ses partenaires et offre des perspectives d’évolution ambitieuses pour ses équipes.
De l’idéation jusqu’à la transformation effective des organisations, en passant par l'accompagnement au changement et l'acculturation aux nouvelles solutions et méthodologies de travail, Helis a su s’imposer comme une référence auprès de ses partenaires.
Nos consultants s’adaptent au mieux aux organisations qu’ils accompagnent, à leur culture et à leurs méthodologies de travail, tout en les influençant de manière positive grâce à leur expertise sectorielle et/ou méthodologique (PMP, ITIL, SCRUM, SAFe, RTE…). Notre spectre d’interventions s’étend des PME aux grandes entreprises, dans des secteurs variés.
Spécialistes en MOA, AMOA et en gestion de projets agiles nous intervenons principalement sur les domaines d’expertise suivants :

Infrastructure, réseaux et Telecom
Big Data & Data Gouvernance
Cloud & Système d’Information
Cybersécurité & RGPD

À travers nos valeurs de bienveillance, d’audace, d’adaptabilité et d’innovation, nous avons à cœur de partager les bonnes pratiques et de permettre à chacun d’apporter sa contribution aux projets internes.
Nous recrutons à tous niveaux d’expériences pour apporter des solutions à forte valeur ajoutée et continuer de maximiser notre satisfaction client.","IT / Digital, Organisation / Management, Stratégie","Paris, Bordeaux, Lyon, Nantes",3 offres,/fr/companies/opendatasoft/jobs
Ganacos,"Ganacos aide les entreprises à mieux piloter leur supply chain, ainsi que leur exercice budgétaire, grâce à une plateforme collaborative nouvelle génération.
 
Notre logiciel de planification permet aux équipes de mieux analyser toutes leurs données opérationnelles et de simuler différents scénarios, afin de prendre les bonnes décisions au quotidien.
Notre solution est caractérisée par sa grande flexibilité, permettant d'adresser tous les besoins de nos clients, ainsi que sa rapidité de déploiement","Logiciels, SaaS / Cloud Services, Stratégie",Nantes,3 offres,/fr/companies/ganacos/jobs
Consortis,"Depuis 2014, Karos Mobility bouscule les codes de la mobilité quotidienne pour la rendre plus durable et conviviale.
Grâce à notre expertise dans le développement de la technologie mobile de covoiturage, nous transformons les centaines de millions de sièges inoccupés présents dans les voitures individuelles en véritables réseaux de transport collectifs.
Avec une communauté qui dépasse le million de membres, le covoiturage devient une habitude aussi naturelle que la prise du bus ou du métro. Les avantages sont multiples : un gain de temps, des économies substantielles (en moyenne 97€ par mois), et une contribution significative à la réduction des émissions de CO2 (plus de 12 000 tonnes déjà évitées !).
Aujourd’hui Karos Mobility n'est plus simplement une force locale. Les émissions de CO2 ne s’arrêtent pas à nos frontières, on le sait. C’est pourquoi notre ambition est de révolutionner la mobilité partout dans le monde et de faire rayonner Karos Mobility à l’échelle mondiale !
Aujourd’hui, nous sommes un groupe international et sommes également présents en Allemagne et en Espagne.
Nos partenariats solides avec les collectivités et les entreprises vont au-delà du simple soutien financier. Ils s'investissent activement dans la promotion du covoiturage auprès de leurs administrés et collaborateurs, contribuant ainsi à une transformation positive de la mobilité à l'échelle mondiale.","Application mobile, Mobilité, Économie collaborative","Paris, Toulouse",24 offres,/fr/companies/consortis/jobs
Les Maisons du Voyage,"Ovalis, société commerciale du groupe Pamproeuf
Entreprise familiale à taille humaine, elle est reconnue pour la qualité de ses produits grâce à sa maîtrise de tous les métiers de la filière œuf 🥚.
Ovalis a pour mission de promouvoir auprès de ses clients de la GMS, les œufs des marques :

sa marque phare, LA NOUVELLE AGRICULTURE 🚜, une marque génératrice de croissance sur le marché des œufs
sa nouvelle marque DOUCE FRANCE 🐔, marque historique et connue des ménages français, relancée depuis 1 an sur le marché des œufs.
TOUT FRAIS TOUT FRANCAIS🍳, sa marque signature complémentaire
",Grande consommation,Pamproux,2 offres,/fr/companies/les-maisons-du-voyage/jobs
Dynergie,"OWN est un Pure Player de la cybersécurité, qui accompagne au quotidien des petites, moyennes et grandes organisations pour leur permettre d’exercer leur métier dans les meilleures conditions en proposant une amélioration en continue de leur cybersécurité et une assistance pour mieux anticiper, détecter et réagir à une menace cyber.
Pourquoi OWN ? Parce que la cybersécurité c'est avant tout l'affaire de tous ! Mais également parce que, au-delà de son nom commun, OWN reprend les initiales de : Operate - Warn - Neutralize.
Trois actions qui symbolisent pleinement le rôle de nos experts au quotidien : conseiller et prendre part à des actions de cyberdéfense, informer et alerter lorsque le risque est imminent et enfin contribuer à la remédiation pour neutraliser la menace.
Face à des attaquants toujours plus organisés, plus professionnels, et avec plus de moyens, OWN doit redoubler d'effort pour proposer des contre-mesures adaptées et efficaces.
Si vous aussi vous voulez faire partie de l’aventure, rejoignez-les !","Cybersécurité, IT / Digital, Stratégie","Paris, Rennes, Toulouse",16 offres,/fr/companies/dynergie/jobs
Music Story,"Marque de Consort Group et référence en matière de services informatiques, Consortis accompagne les entreprises de la conception au maintien en condition opérationnelle des infrastructures en passant par le conseil et l'externalisation de services.
Les équipes de Consortis sont au cœur des enjeux actuels de Cybersécurité, Virtualisation & Cloud, Systèmes, Réseaux et Télécomc comme Digital Workplace. Les compétences RPA et DevOps viennent compléter ces offres et contribuer à l’amélioration opérationnelle et l’agilité des services délivrés.
Consortis, ce sont des communautés de passionnés, dotées de moyens humains et techniques importants pour contribuer au développement individuel :

Un centre de formation DevOps & ITIL
Un Lab mis à disposition pour tester les technologies, en ligne 24/7
Des practice leaders dédiés à chaque domaine d'expertise (veille, partage de compétence, évolution technique…).

Consortis c’est enfin un outil industriel de référence, 6 centres de services travaillant en streetshore et offshore proposant une *« industrialisation sur mesure » et une qualité de service certifiées ISO 9001, 14001, 2000-1 et 27001.","Cybersécurité, Electronique / Télécommunications, SaaS / Cloud Services","Paris, Angers, Bordeaux, Cesson-Sévigné, Lille, Lyon, Nantes, Toulouse",0 offre,/fr/companies/music-story/jobs
KOHE MANAGEMENT,"Créé en 1992, Consort Group accompagne ses clients dans la valorisation de leur patrimoine informatique à son plein potentiel et sa protection.
Conjuguant les compétences de ses experts, il met ses savoir-faire au service des acteurs majeurs français, belges, luxembourgeois, suisses, portugais et marocains.
Depuis 2022, Consort Group réunit ses experts et practices autour de deux marques apportant les complémentarités nécessaires pour faire de vos projets des leviers de transformation numérique :

Consortia : experts en Data, Développement digital et Média Ingénierie.
Consortis : leader des services aux infrastructures informatiques,

Consort Group c’est :

Un ensemble intégré de compétences et services ,
2 organismes de formation agréés,
6M€ investis chaque année dans l’innovation,
4 certifications ISO,
Une politique sociale et sociétale engagée,
Une note de 64/100 ECOVADIS,
Un esprit d’entreprenariat chevillé à notre ADN.

Intégrer Consort Group, c’est rejoindre un projet d’entreprise qui met l’humain et la responsabilité sociétale au cœur de ses préoccupations.","Big Data, Cybersécurité, Electronique / Télécommunications, Robotique, SaaS / Cloud Services","Paris, Angers, Bordeaux, Cesson-Sévigné, Lille, Lyon, Nantes, Toulouse",3 offres,/fr/companies/kohe-management/jobs
Kelvion Thermal Solutions,"Filiale du groupe mondial Kelvion Thermal Solutions et située en France au cœur de la dynamique industrielle de Nantes, KTSN incarne l'excellence et l'engagement dans le domaine des solutions thermiques. Forte de ses 211 collaborateurs passionnés et dévoués, elle se distingue par sa capacité à accompagner chaque client, de la conception sur-mesure jusqu'à la livraison de projets d'envergure.
KTS est le spécialiste de l'amélioration de l'efficacité des solutions thermiques techniques. Ses sites d'ingénierie et de fabrication sont présents dans le monde entier et ses solutions d'échanges thermiques sur mesure contribuent à développer de nouvelles normes et les technologies de l'avenir.
Sa compétence professionnelle spécialisée, son expertise solide, sa proximité client et son portefeuille de produits multidimensionnels font de Kelvion Thermal Solutions le partenaire de choix dans le domaine des échanges thermiques. Son vaste savoir-faire peut être adapté à un large éventail d'applications et d'industries, notamment les Data Centers, la production et la distribution d'hydrogène, la transformation des déchets en énergie, la capture du carbone et la transformation du pétrole et du gaz.
Convaincu que l'innovation est la clé pour relever les défis et énergétiques et environnementaux de demain, KTS investit
continuellement dans la recherche et le développement.
C'est pourquoi rejoindre KTSN c'est devenir Acteur de la transition énergétique mondiale.
Ensemble, nous œuvrerons pour un futur plus vert !","Bureau d'études et d'ingénierie, Energie, Métallurgie",Nantes,2 offres,/fr/companies/kelvion-thermal-solutions/jobs
Bial-X,"Chez Dream Catcher Sales, ils ont une mission qui leur tient à cœur depuis 2015 : remettre l’humain au cœur du business. Concrètement, comment font-ils ?
Plus précis et subtils qu'un algorithme, ce sont des Sales qui sélectionnent des Sales. Leur but est de trouver le matching parfait entre les attentes de leurs candidats et celles de leurs clients.  Ils interviennent sur la création, le renfort et la transformation des équipes commerciales. Leur expertise se situe sur toute la chaine de valeur du cycle de vente (du SDR au CSM) et sur toute la verticale hiérarchique (du junior au Chief Sales Officer).
Leur accompagnement se traduit par du recrutement (au succès ou en RPO), de la prestation de services, du conseil, de la formation.
Qui sont leurs clients ? Essentiellement des entreprises de l’écosystème tech et innovation, de la start-up au grand compte, en passant par les PME et les scale-ups.","Organisation / Management, Recrutement, Stratégie",Paris,5 offres,/fr/companies/bial-x/jobs
Mojo Studio,"RTE construit, transforme, exploite et maintient le réseau public de transport d’électricité́ français.
Sur le plus grand réseau d’Europe, nous équilibrons la production et la consommation, acheminons l’électricité indispensable au quotidien de chacun et à l’activité des industries, et garantissons la solidarité électrique entre les territoires, 24h/24, à chaque seconde.
Acteur central de la transition énergétique, nous développons le potentiel des énergies renouvelables en transformant en profondeur RTE et le réseau, en accompagnant la décarbonation des industries, en sensibilisant les Français aux éco-gestes avec le dispositif EcoWatt et en éclairant les pouvoirs publics sur les questions énergétiques par des études qui font référence.","Bâtiment / Travaux publics, Electronique / Télécommunications, Energie, Environnement / Développement durable",Paris La Defense Cedex,3 offres,/fr/companies/mojo-studio/jobs
Webyn,"LOUER DES LOCOMOTIVES, DES TRAINS DE VOYAGEURS C’EST POSSIBLE ! C’EST LE METIER DU GROUPE AKIEM.
Leader européen, Akiem loue et assure la maintenance des locomotives et des trains de voyageurs.
Avec une flotte de plus de 740 locomotives et de 160 véhicules voyageurs, Akiem est présent dans 22 pays d’Europe, auprès d’une centaine de clients. 
Ses 400 collaborateurs sont principalement basés en Allemagne, en France, en Suède, en Italie, en Hongrie, en Pologne et en Angleterre. 
Grâce à ses collaboratrices et collaborateurs, Akiem contribue concrètement à l’avenir du rail, ils en sont convaincus, c’est le mode de transport qui répond le mieux aux enjeux d’un développement durable et responsable.","Ferroviaire, Métallurgie","Saint-Ouen-Sur-Seine, Bischheim, Hénin-Beaumont, Ostricourt",7 offres,/fr/companies/webyn/jobs
Solarhona,"Le cabinet Bial-X a pour mission d’exploiter les données de ses clients pour en extraire tout le potentiel. 
Il s'appuie sur un tryptique : prestations à haute valeur ajoutée, delivery projets et platforme Saas de services en ligne. 
La Data Intelligence Agency regroupe 72 agents expérimentés sur toute la chaine Data et sur les principales stacks technologiques de l’écosystème. Ils sont capables d'adresser des problématiques métier en proposant des solutions innovantes de BI, Big Data ou IA.","Big Data, IT / Digital, Intelligence artificielle / Machine Learning","Limonest, Paris, Strasbourg",3 offres,/fr/companies/solarhona/jobs
Agregio Solutions,"RevUp Conseil est un cabinet de conseil et externalisation en revenue management qui a pour objectif d'optimiser le chiffre d'affaires de ses clients en utilisant des techniques de pricing dynamique, de Yield Management, en optimisant la distribution électronique, en utilisant les leviers du marketing digital et en challengeant les partenariats de e-commerce de ses clients.
Les secteurs d'activité couverts par RevUp Conseil et son activité sont l'hôtellerie, les locations courtes durées, résidences de tourisme, hôtellerie de plein air.
RevUp Conseil existe depuis 2012 et sa croissance est ininterrompue depuis sa création.","Digital Marketing / Data Marketing, Hôtellerie",Paris,24 offres,/fr/companies/agregio-solutions/jobs
Empowill,"Fondée à Strasbourg, Lipper est née de la vision, de Maxime, Alessandro et Marc-Hervé, forts de 15 années d’expérience, d’horizons et compétences complémentaires.
Tous animés par une passion commune pour la technologie et l’innovation, et aussi parce qu'ils sont convaincus que
l’optimisation fait gagner en sérénité.
Experte dans la Conception de Logiciels, Applications Mobiles & Web App, Solutions Métier et Automatisation, Lipper accompagne ses clients pour transformer leurs idées en solutions numériques personnalisées.
Notre Approche se décompose en 4 Axes :

Innovation : nous utilisons des technologies de pointe
Sur-mesure : nous répondons aux besoins spécifiques de nos clients
Engagement : nous offrons un support technique de qualité
Durabilité : nos solutions sont conçues pour une durée maximale
","Intelligence artificielle / Machine Learning, Logiciels, SaaS / Cloud Services",Strasbourg,3 offres,/fr/companies/empowill/jobs
JVD,"JVD est le leader français de la conception et la fabrication d’équipements d’hygiène et d’hôtellerie. Fabricant spécialisé dans l’hygiène des mains et de l’air, JVD s’appuie sur un savoir-faire français et riche de plus de 40 ans d’expérience.
Aujourd’hui, JVD rayonne dans plus de 105 pays à travers le monde avec ses 4 gammes de produits : l’Hygiène, l’Hôtellerie, la purification d’air et les solutions d’hygiène connectées. Entreprise à taille humaine, JVD allie innovation et éco-responsabilité en favorisant des fournisseurs locaux et en fabricant la majorité de ses produits localement dans son site de production à Rezé. Garantissant ainsi des produits qui prennent soin de vous tout en prenant soin de l’environnement.","Hôtellerie, Objets connectés, Santé",Rezé,2 offres,/fr/companies/jvd/jobs
OpenAirlines,"Opérateur international reconnu, Orano concentre son activité autour de la valorisation des matières nucléaires, pour produire une électricité sûre et bas carbone et ainsi apporter une réponse aux défis énergétiques et environnementaux du XXIème siècle. Son expertise unique sur le cycle du combustible nucléaire lui permet de proposer à ses clients des produits et des services performants, de la mine au démantèlement, en passant par la conversion, l’enrichissement, le recyclage, la logistique et l’ingénierie.","Energie, Ingénieries Spécialisées",Châtillon,7 offres,/fr/companies/openairlines/jobs
Accor Tech & Digital,"Hipli aide les e-commerçants et leurs clients à éviter les déchets en concevant des colis qui peuvent être réutilisés, et des outils tech pour s'assurer qu’ils le soient réellement. Sa mission : donner à tous le pouvoir, et l’envie, de lutter contre les déchets du e-commerce.
L'entreprise conçoit des logiciels pour les e-commerçants et une application pour aider les particuliers à réutiliser leurs colis.
Plus de 350 marques (Cdiscount,Ba&sh,Balzac...) font déjà confiance à Hipli.","E-commerce, Environnement / Développement durable, Logiciels",Le Havre,59 offres,/fr/companies/accor-tech-and-digital/jobs
Regata,"ZELIQ was created early 2023 by Dorian (CEO & co-founder), and Guillaume (COO & co-founder).
As a CEO of Hivency, Dorian created a successful company (+130 people, +7m€ ARR) sold to Skeepers (PSG Equity) in 2021 where business was provided almost exclusively by sales outbound strategy.
Since Skeepers, he has joined several companies as a board member/ business angel and identified the same pain for almost all of them: the lack of outbound culture.
He decided to create ZELIQ in order to provide a SaaS solution that will help companies to resolve this pain in a hybrid work environment. To reach the ambition to be the SaaS sales tech leader, he has to find the best co-founders and ask Guillaume to join him in this future scale-up.
We aim to make selling easy. Our mission is to empower sales teams by revealing accurate prospect data and turning them into clients.
We are making outreach more profitable. Cold calling, Cold Email, and Databases… are a salesperson's primary success keys, so we've created a sales engagement platform that provides precise prospect data and enables seamless omnichannel outreach.","Intelligence artificielle / Machine Learning, Logiciels, SaaS / Cloud Services",Paris,4 offres,/fr/companies/regata/jobs
Steve Gates,"🌍 Join OpenAirlines on our journey to save the planet! 🛫
Since airline traffic is growing faster than ever, to tackle this challenge, we invented SkyBreathe®, an eco-flying software to help airlines and their stakeholders reduce their fuel costs and environmental impact. Today, we are the 2nd French Cleantech with the highest positive impact in C02 reduction.
💚 OpenAirlines is also :

A green culture, strong ethical values, certified B-corp and HappyTrainnees,
Talented employees who are passionate about their missions and acting in favor of the environment,
A fun and relaxed atmosphere,
A job and a key role in a fast-growing international company,
A pleasant and international work environment with premises that favor openness, transparency, and cohesion.
","Aéronautique / Spatiale, Big Data, Environnement / Développement durable","Toulouse, Hong Kong, Miami, Montréal",3 offres,/fr/companies/steve-gates/jobs
Les vergers Boiron,"Depuis plus de 180 ans, la mission de la Fondation FALRET est d'accueillir et d'accompagner des personnes vivant avec un trouble psychique et/ou en difficultés psychosociales, de militer pour faire entendre la voix des personnes stigmatisées, de former à la mise en œuvre d'une société inclusive et universellement accessible pour conscientiser la société toute entière à la santé mentale.
Elle accompagne aujourd’hui près de 4500 personnes au sein de plus 51 établissements, services et dispositifs innovants en Ile-de-France.","Association, ONG, Santé",Pantin,10 offres,/fr/companies/les-vergers-boiron/jobs
Mews Partners,"Ma Maison Écologique, spécialiste de la rénovation de l’habitat, recrute ses nouveaux talents en région PACA !
En tant que réel acteur de la transition énergétique, et reconnu garant de l’environnement (RGE Qualipac), nous proposons aux particuliers des solutions de chauffages innovantes et écologiques.
Si vous êtes à la recherche d'un métier d'avenir avec une rémunération motivante, alors n’hésitez pas et rejoignez nous !
Une entreprise ambitieuse et en plein développement : c’est la garantie d'intégrer une équipe dynamique et motivée qui vous aidera à relever de nouveaux défis passionnants",Environnement / Développement durable,Marseille,9 offres,/fr/companies/mews-partners/jobs
Kerialis,"KERIALIS protège depuis 60 ans ses assurés et propose des solutions complètes en santé, prévoyance et retraite pour protéger efficacement les salariés et leurs employeurs. Initialement ouvert à la profession des avocats, KERIALIS s’ouvre en 2023 aux études de notaires et aux cabinets d’experts-comptables avec des offres santé et prévoyance.
Organisme paritaire, KERIALIS croit en la valeur de l’engagement. Sa mission est d’offrir la meilleure qualité de service et des garanties toujours plus performantes pour les professions du droit et du chiffre.","Assurance, Service juridique",Paris,4 offres,/fr/companies/kerialis/jobs
Equium,"Filiale du Crédit Mutuel Arkéa, Arkéa Crédit Bail est spécialisée dans le financement locatif pour les professionnels. Depuis 1992, ses experts accompagnent partout en France les entreprises de toutes tailles et les institutionnels dans le financement de leurs projets : renouvellement de matériel ou de véhicules, construction ou achat de bâtiment. ",Finance,Saint-Grégoire,4 offres,/fr/companies/equium/jobs
La Growth Machine,"Sora est la première solution qui propose et opère des bureaux inoccupés d’exception !
✨ Qu’est ce qu’ils appellent bureaux d’exception ? Les mieux équipés, décorés, les mieux localisés et surtout clés en main.
Le plus de Sora ? Son service d’office management qui permet aux entreprises de se décharger des lourdeurs administratives qui entourent parfois la gestion d’immeuble.
De la récupération de badge pour l’emménagement à la mise en relation avec des prestataires divers, chez Sora on s’occupe de tout pour garantir une expérience positive pour le client. Et ce, tout au long de sa réservation.
Sora, c’est également une plateforme SaaS réunissant les services du coworking alliés à la flexibilité du contrat de prestation de service.
En clair, Sora permet à ceux en recherche de bureaux d’accéder aujourd’hui à une offre non-structurée sur le marché de l’immobilier de bureau et aux détenteurs de bureaux inoccupés de rentabiliser leur espaces. Tout ça, sans la pénibilité pour les entreprises d’avoir à gérer des bureaux puisque Sora s’occupe également de l’office management.
➔ L’ambition finale ? Devenir le leader mondial dans la gestion et l’occupation des espaces de travail.",SaaS / Cloud Services,Paris,5 offres,/fr/companies/lagrowthmachine/jobs
Hyxos,"Fondée en 1999, Scaleway aide les développeurs et les entreprises à créer, déployer et faire évoluer leurs applications sur n'importe quelle infrastructure. Depuis ses Maisons situées à Paris et à Lille, Scaleway développe un écosystème cloud complet aujourd'hui utilisé par plus de 25 000 entreprises, y compris des startups européennes, qui ont fait le choix de Scaleway pour sa redondance multi-AZ, son expérience-utilisateur fluide , ses datacenters neutres en carbone et ses outils natifs de gestion d'architectures multi-cloud.
Avec des offres entièrement managées pour les architectures bare metal, conteneurisées et sans serveur, Scaleway apporte le choix au monde du cloud computing, en offrant à ses clients la possibilité de choisir où résident leurs données, de décider de leur l'architecture et de choisir une façon plus responsable d'évoluer. Scaleway est le cloud de choix.
En tant qu'entreprise citoyenne, ils évaluent leur impact, se fixent des objectifs ambitieux et communiquent de manière transparente sur leurs résultats.","IT / Digital, SaaS / Cloud Services","Paris, Amsterdam, Basse-Terre, Berlin, Lille, Saint-Ouen-L'aumône, Vitry-Sur-Seine",Candidatures spontanées !,/fr/companies/hyxos/jobs
Vectorys France,"Créée en 2017, EQUIUM ambitionne de répondre à un besoin humain fondamental, le confort thermique à la maison ou au travail, de façon simple, sobre, efficace et durable et ce pour le plus grand nombre.
15 ans de R&D ont été nécessaire pour comprendre, reproduire et mettre au point la compression harmonique, innovation bio-mimétique reproduisant un phénomène physique naturel, la Thermo-acoustique, ou la capacité naturelle du son à transporter de la chaleur et ainsi de révolutionner les systèmes de Pompes à Chaleur
EQORE, le système de production réversible de chaleur développé pour les bâtiments d’aujourd’hui et de demain, réduit de 80% les émissions de CO2 liés au chauffage, n’utilise aucun fluide frigorigène ni matériaux rares et apporte un gain d’efficacité de 30% comparé aux systèmes les plus efficaces actuellement.","Energie, Environnement / Développement durable, SocialTech / GreenTech",Saint-Herblain,6 offres,/fr/companies/vectorys/jobs
CALIBSUN,"La mission d'ACC est d'accélérer la transition vers une mobilité durable et abordable pour tous, en réduisant considérablement les émissions de gaz à effet de serre. Notre objectif est d'innover et de fournir des batteries performantes, tout en contribuant à la transition industrielle et environnementale vers une mobilité plus propre.
Prenez votre place au sein d’un leader européen de la production de batteries pour véhicules électriques, un pionnier de la ""Battery Valley"" Européenne.","Automobile, Energie, Ingénieries Spécialisées","Bruges, Billy-Berclau, Kaiserslautern, Nersac, Paris, Termoli",2 offres,/fr/companies/calibsun/jobs
Enerdata,"Haigo est une agence de transformation par le design.
Ils aident leurs clients à cadrer et résoudre leurs problèmes business les plus complexes.
Poser les bonnes questions, identifier les bons problèmes à résoudre, imaginer des solutions concrètes et s'assurer qu'elles voient le jour, c'est ce qu'ils aiment faire depuis 2015.
On peut définir leur métier à travers 3 piliers qui sont : le Design stratégique, le Business Transformation et le Product Delivery. En fonction des clients et des projets, ils adaptent ces piliers.
Pour ceux qui les rejoignent, c'est le promesse de devenir hyper autonomes et responsables sur ces coeurs de métier en travaillant sur des missions qui changent durablement et positivement les clients, qui vont du CAC40 à la startup en passant par les services publics.
C'est aussi l'occasion de rejoindre une équipe dynamique et inspirante composée de Service Designers, de Strategic Designers, de Product Designers, de Consultant en Business Transfo, et autres talents.
Du Junior au Lead, différents niveaux d'expérience pour un travail en synergie.
Enfin, rejoindre Haigo, c'est rejoindre un collectif international. Membre du collectif Kyu depuis 2020, ils travaillent au coté de Sid Lee, IDEO, Public Digital, ce qui leur permet de mobiliser des expertises partout dans le monde et de se développer rapidement.","Design, Digital, Transformation",Paris,2 offres,/fr/companies/enerdata/jobs
Apnée Paris,"Kel Foncier rend l’information immobilière et foncière transparente et compréhensible pour tous.
Kel Foncier a été créé pour lutter contre l’étalement urbain non contrôlé. Leur outil rend simple le développement foncier en donnant accès en 1 clic à tous les Plans Locaux d'Urbanisme à jour sur toute la France, à la faisabilité d'un projet sur plusieurs parcelles et aux coordonnées des propriétaires et leur patrimoine.
Kel Foncier aide ainsi les promoteurs immobiliers à trouver du foncier constructible à l’intérieur des zones urbaines recherchées en respectant les réglementations en vigueur, de l’urbanisme à l’environnemental.
Le foncier est plus facile à identifier pour le promoteur. Les nouveaux habitants sont mieux intégrés à leur ville. Les espaces agricoles et naturels sont préservés.","Immobilier commercial, Logiciels, SaaS / Cloud Services",Paris,Candidatures spontanées !,/fr/companies/apnee-paris/jobs
Kali'air,"KALIté, Convivialité, Engagement, Audace et Agilité sont les cinq valeurs de Kali'air reconnue depuis plus de 20 ans par ses clients industriels et collectivités pour l'efficience de ses prestations et la disponibilité de ses équipes.
Kali'air est spécialisée dans les mesures, prélèvements, études et conseils de la qualité de l'air ambiant, l'hygiène des lieux de travail et l’air à l'émission. Son expertise terrain lui confère une réactivité et une méthodologie d’intervention compétitive.","Bureau d'études et d'ingénierie, Environnement / Développement durable","Sainghin-En-Mélantois, Aix-En-Provence, Semoy",2 offres,/fr/companies/kali-air/jobs
Association Cazin Perrochaud,"Kali'eau est une société indépendante spécialisée dans les prestations de diagnostics, d'études et d'assistance maîtrise d'ouvrage technique dans le domaine de la gestion de l'eau. 
KALité, Convivialité, Engagement, Audace et Agilité sont les valeurs de Kali'eau reconnues depuis plus de 28 ans par ses clients industriels, promoteurs immobiliers et petites collectivités pour l'efficacité de ses prestations et la disponibilité de ses équipes.","Audit, Bureau d'études et d'ingénierie, Environnement / Développement durable","Lezennes, Bihorel",6 offres,/fr/companies/association-cazin-perrochaud/jobs
Communauté d'Agglomération du Pays de Gex,"Bienvenue dans l'univers de Faktus, l'innovation au service des petites entreprises du bâtiment ! Fondée à l'été 2023 par un chef d'entreprise du secteur de la construction et un expert financier, Faktus s'est engagée à redéfinir le rôle bancaire pour les TPE du bâtiment.
Faktus est bien plus qu'une simple solution de financement, c'est le partenaire dédié à la croissance des entreprises du BTP. Grâce à Faktus, les entreprises peuvent financer leurs chantiers sans tracas et booster leur croissance. Elles accèdent à un cautionnement du chantier, un acompte rapide pour l'achat de matériaux, et à l'encaissement de leurs factures mensuelles dès leur émission. Et ça pour seulement 2-3% du montant du chantier.
Avec son usine financière sophistiquée, Faktus se distingue par sa simplicité, son expérience digitale intuitive pensée pour le BTP, et son caractère instantané.
L'ambition de Faktus est de devenir le banquier privé des entrepreneurs du BTP, avec une offre complète d'accompagnement financier, juridique, de validation de facture et de recouvrement 🚀",FinTech / InsurTech,Paris,21 offres,/fr/companies/pays-de-gex-agglo/jobs
